City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,mpanda,-6.3655,31.0409,67.42,95,75,0.81,TZ,1682445960
132,quellon,-43.1167,-73.6167,50.25,100,100,0.0,CL,1682445960
133,big spring,32.2504,-101.4787,75.11,48,40,12.66,US,1682445960
134,tash-kumyr,41.3461,72.2171,63.43,52,24,9.8,KG,1682445960
135,island harbour,50.724,-1.2758,50.94,63,100,7.0,GB,1682445960
136,isafjordur,66.0755,-23.124,32.04,55,40,14.97,IS,1682445780
137,filadelfia,39.9523,-75.1638,60.44,39,16,4.0,US,1682445791
138,kijang,35.2442,129.2139,49.73,86,90,4.18,KR,1682445961
139,murzuq,25.9155,13.9184,82.44,13,0,5.99,LY,1682445756
140,burang,30.25,81.1667,24.04,90,70,1.9,CN,1682445961
141,macau,22.2006,113.5461,67.8,72,40,17.27,MO,1682445962
142,katsuren-haebaru,26.3369,127.8719,71.62,77,100,8.05,JP,1682445962
143,choibalsan,48.0667,114.5,43.32,23,67,21.27,MN,1682445962
144,hawaiian paradise park,19.5933,-154.9731,76.89,87,0,4.61,US,1682445962
145,sinabang,2.4803,96.3801,81.57,77,94,3.71,ID,1682445963
146,castillos,-34.1667,-53.8333,67.64,86,98,4.61,UY,1682445912
147,gebeit,21.0667,36.3167,81.99,35,2,9.8,SD,1682445963
148,sucre,-19.0333,-65.2627,67.03,45,22,8.25,BO,1682445963
149,ambagarh chauki,20.7833,80.7167,77.43,53,87,7.81,IN,1682445963
150,novaya igirma,57.1334,103.9112,32.43,97,100,10.76,RU,1682445963
151,avarua,-21.2078,-159.775,71.65,94,64,3.44,CK,1682445964
152,yellowknife,62.456,-114.3525,43.32,56,75,11.5,CA,1682445744
153,east ballina,-28.8667,153.5833,60.8,74,53,13.02,AU,1682445964
154,udachny,66.4167,112.4,15.8,96,100,7.4,RU,1682445964
155,el abiodh sidi cheikh,32.893,0.5484,82.87,14,2,7.65,DZ,1682445964
156,inhambane,-23.865,35.3833,77.0,78,0,0.0,MZ,1682445965
157,vilyuchinsk,52.9306,158.4028,32.27,81,87,8.59,RU,1682445965
158,lata,40.1629,-8.3327,71.92,54,60,7.16,PT,1682445965
159,kideksha,56.4167,40.5167,52.14,90,100,6.85,RU,1682445965
160,akureyri,65.6835,-18.0878,31.93,59,75,8.05,IS,1682445965
161,adrar,20.5022,-10.0711,95.77,8,0,5.48,MR,1682445965
162,benguela,-12.5763,13.4055,80.42,85,100,4.21,AO,1682445966
163,yuzhno-kurilsk,44.0306,145.8556,38.3,88,100,11.56,RU,1682445837
164,ilulissat,69.2167,-51.1,37.42,56,75,2.3,GL,1682445966
165,praia da vitoria,38.7333,-27.0667,70.05,73,40,15.08,PT,1682445966
166,valdivia,-39.8142,-73.2459,51.89,68,100,3.09,CL,1682445741
167,remire-montjoly,4.9167,-52.2667,80.64,89,75,5.75,GF,1682445967
168,fale old settlement,-9.3852,-171.2468,83.68,74,98,10.13,TK,1682445967
